name,publisher,total_episodes,id,media_type,description,external_urls,uri,genre,podcasts_per_month
Trail Running Women,Hilary Spires,113,3tcmWbYXlZ5xJgJ6x18BXJ,audio,"The women of the trails share their stories about running, racing, and life. These badass ladies from around the globe get honest about everything from competing, motherhood, and trying to have it all. Get ready for training ideas, gear tips, and a healthy dose of inspiration.",https://open.spotify.com/show/3tcmWbYXlZ5xJgJ6x18BXJ,spotify:show:3tcmWbYXlZ5xJgJ6x18BXJ,running,4.55
Mind Pump: Raw Fitness Truth,"Sal Di Stefano, Adam Schafer, Justin Andrews, Doug Egge",1458,4D3JFAh4ebj9lks9WOE2Vs,audio,"MindPump exposes the RAW TRUTH about health, fitness, nutrition and more... Hosts Sal Di Stefano, Adam Schafer & Justin Andrews pull back the curtain on the mythology, snake oil and pseudo-science that pervades the fitness industry and present science-backed solutions that result in increased muscular development and performance while simultaneously emphasizing health. No fitness institution or fitness ""truth"" is safe from their quick wit and over 40 years of combined experience in the fitness industry. Produced by Doug Egge. Find Mind Pump and the Mind Pump hosts on Instragram @mindpumpmedia, @mindpumpsal, @mindpumpadam, @mindpumpjustin & @mindpumpdoug and on Facebook at mindpump. Get expertly programmed Mind Pump training protocols at www.mindpumpmedia.com",https://open.spotify.com/show/4D3JFAh4ebj9lks9WOE2Vs,spotify:show:4D3JFAh4ebj9lks9WOE2Vs,fitness,20.42
Ben Greenfield Fitness,Ben Greenfield,996,4nN0MRFIdTsx3iMrsh9TYd,audio,"Free exercise, nutrition, weight loss, triathlon and wellness advice from BenGreenfieldFitness.com!   Go to BenGreenfieldFitness.com for the incredibly useful shownotes and for ALL episodes in our archives and the handy-dandy phone app, visit BenGreenfieldFitness.com/premium!",https://open.spotify.com/show/4nN0MRFIdTsx3iMrsh9TYd,spotify:show:4nN0MRFIdTsx3iMrsh9TYd,fitness,9.08
Joe DeFranco's Industrial Strength Show,Joe DeFranco,253,6wl9a3uCFB8WUtJUe10yWP,audio,"World-renowned strength & conditioning coach Joe DeFranco shares his thoughts on training for peak performance, mindset, and living your passion. As the founder and owner of DeFranco’s Gym, he also provides the business knowledge that helped him turn a 500-square-foot storage closet into a global brand.",https://open.spotify.com/show/6wl9a3uCFB8WUtJUe10yWP,spotify:show:6wl9a3uCFB8WUtJUe10yWP,fitness,3.79
On Purpose with Jay Shetty,Jay Shetty and Kast Media,183,5EqqB52m2bsr4k1Ii7sStc,audio,"       My name is Jay Shetty, and my purpose is to make wisdom go viral. I’m fortunate to have fascinating conversations with the most insightful people in the world, and on my podcast, I’m sharing those conversation with you. New episodes Mondays and Fridays. Listen anywhere you get your podcasts, and please rate and review the podcast if you enjoy it. Live life today ON PURPOSE.      ",https://open.spotify.com/show/5EqqB52m2bsr4k1Ii7sStc,spotify:show:5EqqB52m2bsr4k1Ii7sStc,fitness,8.33
Bulletproof Radio,Dave Asprey,766,2mkB9OoukPVKCTKSuAIgCq,audio,"       Welcome to being Bulletproof, the State of High Performance where you take control and improve your biochemistry, your body, and your mind so they work in unison, helping you execute at levels far beyond what you’d expect, without burning out, getting sick, or just acting like a stressed-out a-hole.Bulletproof Radio was born out of a 20-year single-minded crusade to upgrade the human being using every available technology. It distills the knowledge of world-class doctors, biochemists, scientists, Olympic nutritionists, meditation experts, and mavericks. Dave has spent more than $1M on personal health experiments. From private brain EEG facilities hidden in a Canadian forest to remote monasteries in Tibet, from Silicon Valley to the Andes, high-tech entrepreneur Dave Asprey used hacking techniques and tried everything himself, obsessively focused on discovering: What are the simplest things you can do to be better at everything? It used to take a lifetime to radically rewire the human body and mind. Technology has changed the rules. Follow along as Dave Asprey and guests provide you with everything you need to upgrade your mind, body, and life.     ",https://open.spotify.com/show/2mkB9OoukPVKCTKSuAIgCq,spotify:show:2mkB9OoukPVKCTKSuAIgCq,fitness,7.21
TRAINED,Nike,52,4S5PahOirvvAuGBswLfNzh,audio,"Through years of research and working with the world's best athletes - Nike has learned greatness isn't born, it's trained. This podcast explores the cutting-edge of holistic fitness to help make you a better trainer and athlete. Listen to conversations with industry experts and discover the latest innovations, insights, and trends making the biggest impact on the training world. ",https://open.spotify.com/show/4S5PahOirvvAuGBswLfNzh,spotify:show:4S5PahOirvvAuGBswLfNzh,fitness,2
Ultrarunnerpodcast.com,Eric Schranz,429,61xgBmYdeuyOT2fTPrzzIm,audio,"Ultramarathon News, Interviews, Reviews, and Brews.",https://open.spotify.com/show/61xgBmYdeuyOT2fTPrzzIm,spotify:show:61xgBmYdeuyOT2fTPrzzIm,running,4.13
The Brute Strength Podcast,The Brute Strength Podcast,33,7fWY5SGpUE65RQDWhxAn58,audio,"The Brute Strength Podcast features Javier Gorriti and Chris Sedenka from Big JAB 96.3 in Portland, ME. The two sports radio hosts go beyond that world to talk pop culture, society and much much more. Hope you enjoy.",https://open.spotify.com/show/7fWY5SGpUE65RQDWhxAn58,spotify:show:7fWY5SGpUE65RQDWhxAn58,fitness,3.57
BarBend Podcast,BarBend,132,10OyHgZW3FrnAIffUpvrdA,audio,"Learn from the top athletes, coaches, and influencers in strength! Each week, the BarBend Podcast brings together some of the world's biggest strength names across weightlifting, powerlifting, CrossFit, strongman, and more. BarBend Editor and Co-Founder David Thomas Tao sits down with the strength community's smartest and strongest minds to with a focus on their learnings through training, competition, and coaching. We dive deep on their journeys and where strength training has taken them. World record holders share their competition secrets. Coaches give their most underrated tips. And top thinkers and researchers from the realm of strength science go deep on their most promising findings. This podcast is the perfect companion for experts and beginners alike, covering a wide range of topics to keep listeners up to date on the world of strength.",https://open.spotify.com/show/10OyHgZW3FrnAIffUpvrdA,spotify:show:10OyHgZW3FrnAIffUpvrdA,fitness,7.81
Chasing Excellence,Ben Bergeron,149,5DGoQinz8rbs6iG0UKsscT,audio,"Chasing Excellence is a show dedicated to dissecting what it means to live a life of excellence, both inside the gym & out. On each episode, we'll deep dive on various aspects of being an athlete & maximizing your potential.",https://open.spotify.com/show/5DGoQinz8rbs6iG0UKsscT,spotify:show:5DGoQinz8rbs6iG0UKsscT,fitness,3.38
No Meat Athlete Radio,"Matt Frazier talking vegan fitness with Rich Roll, Colleen Patrick-Goudreau, Leo Babauta, Jeff Sanders, Chef AJ, Brendan Brazier, Mike Arnstein, Sid Garza-Hillman, Robert Cheeke, plus more vegan & vegetarian nutrition, fitness, running, and ultra running.",370,4dfCUNYJyhssXD29UDdxtq,audio,"Vegan and vegetarian nutrition, running and training tips, and healthy lifestyle and habit change with well-known guests like Rich Roll, Brendan Brazier, Heather Crosby, Leo Babauta, Rip Esselstyn, Nicole Antoinette,  make for an entertaining, informative, no-preach listen. NMA Radio is brought to you by Athletic Greens.",https://open.spotify.com/show/4dfCUNYJyhssXD29UDdxtq,spotify:show:4dfCUNYJyhssXD29UDdxtq,fitness,4.32
Muscle For Life with Mike Matthews,Mike Matthews,646,3Vn2r4Nf0t6QDaWuJLp6dh,audio,"OVER 17,000,000 DOWNLOADS AND COUNTING!  If you want to know how to build muscle, lose fat, and be healthier, happier, and wiser...faster than you ever thought possible...then this podcast is for you. Hosted by the bestselling author and entrepreneur, Mike Matthews, each episode gives you simple, science-based know-how and inspiration that will help you build your best body and life ever.  Find out more at www.legionathletics.com",https://open.spotify.com/show/3Vn2r4Nf0t6QDaWuJLp6dh,spotify:show:3Vn2r4Nf0t6QDaWuJLp6dh,fitness,8.8
WHOOP Podcast,WHOOP,98,0yFoBgekRMM9lN0xMMczL7,audio,"At WHOOP, we are on a mission to unlock human performance. We measure the body 24/7 and provide detailed analytics to our members regarding strain, recovery, sleep, HRV and more. Our clients range from the best professional athletes in the world, to Navy SEALs, to fitness enthusiasts, to Fortune 500 CEOs and executives. The common thread among WHOOP members is a passion to improve. What does it take to optimize performance for athletes, for executives, for anyone? We've launched this podcast to dig deeper. WHOOP Founder & CEO Will Ahmed interviews a variety of athletes, experts and industry leaders. ",https://open.spotify.com/show/0yFoBgekRMM9lN0xMMczL7,spotify:show:0yFoBgekRMM9lN0xMMczL7,fitness,4.17
